firstname,lastname,city,year,ethnicity
Steve,Baisden,ADELANTO,2010,white
Charles,Valvo,ADELANTO,2010,hispanic
Edgar,Camargo,Adelanto,2012,hispanic
Jermaine,Wright Sr.,Adelanto,2012,black
Charley,Glasper,Adelanto,2014,black
John,Woodard,Adelanto,2014,white
Jermaine,"Wright, Sr.",Adelanto,2016,white
Edgar,Camargo,Adelanto,2016,hispanic
Joy,Jeannette,Adelanto,2018,black
Stevevonna,Evans,Adelanto,2018,white
Gerardo,Hernandez,Adelanto,2018,hispanic
Daniel,Ramos,Adelanto,2020,hispanic
Joy,Jeannette,Adelanto,2020,black
Amanda,Uptergrove,Adelanto,2022,white
Angelo,Meza,Adelanto,2022,hispanic
Illece,Weber,Agoura Hills,2011,white
John,Edelston,Agoura Hills,2011,white
Denis,Weber,Agoura Hills,2013,white
Harry,Schwarz,Agoura Hills,2013,white
William,Koehler,Agoura Hills,2013,white
Illece,Weber,Agoura Hills,2015,white
Linda,Northrup,Agoura Hills,2015,white
Chris,Anstead,Agoura Hills,2018,black
Deborah,Lopez,Agoura Hills,2018,hispanic
Denis,Weber,Agoura Hills,2018,white
Linda,Northrup,Agoura Hills,2020,white
Illece,Weber,Agoura Hills,2020,white
Deborah,Lopez,Agoura Hills,2022,hispanic
Jeremy,Wolf,Agoura Hills,2022,white
Chris,Anstead,Agoura Hills,2022,black
Rob,Bonta,ALAMEDA,2010,white
Lena,Tam,ALAMEDA,2010,asian
Marilyn,Ashcraft,Alameda,2012,white
Tony,Daysog,Alameda,2012,white
Frank,Matarrese,Alameda,2014,white
Jim,Oddie,Alameda,2014,white
Malia,Vella,Alameda,2016,white
Marilyn,Ashcraft,Alameda,2016,white
Tony,Daysog,Alameda,2018,white
John,White,Alameda,2018,white
Trish,Spencer,Alameda,2020,white
Malia,Vella,Alameda,2020,white
Tony,Daysog,Alameda,2022,white
Tracy,Jensen,Alameda,2022,white
Marge,Atkinson,ALBANY,2010,white
Joanne,Wile,ALBANY,2010,white
Peter,Maass,Albany,2012,white
Michael,Barnes,Albany,2012,white
Peggy,Thomsen,Albany,2012,white
Nick,Pilch,Albany,2016,white
Peter,Maass,Albany,2016,white
Michael,Barnes,Albany,2016,white
Peggy,Mcquaid,Albany,2018,white
Rochelle,Nason,Albany,2018,white
Gary,Ge'nell,Albany,2020,white
Preston,Jordan,Albany,2020,white
Aaron,Tiedemann,Albany,2020,white
John,Miki,Albany,2022,white
Jennifer,Hansen-Romero,Albany,2022,white
Steven,Placido,Alhambra,2012,hispanic
Stephen,Sham,Alhambra,2014,asian
Jeff,Maloney,Alhambra,2016,white
David,Mejia,Alhambra,2016,hispanic
Katherine,Lee,Alhambra,2018,asian
Ross,Maza,Alhambra,2018,hispanic
Adele,Andrade-Stadler,Alhambra,2018,hispanic
Sasha,Pérez,Alhambra,2020,hispanic
Jeff,Maloney,Alhambra,2020,white
Katherine,Lee,Alhambra,2022,asian
Ross,Maza,Alhambra,2022,hispanic
Adele,Andrade-Stadler,Alhambra,2022,hispanic
Carmen,Cave,ALISO VIEJO,2010,white
Phillip,Tsunoda,ALISO VIEJO,2010,asian
Ross,Chun,Aliso Viejo,2012,asian
Mike,Munzing,Aliso Viejo,2012,white
William,Phillips,Aliso Viejo,2012,white
Greg,Ficke,Aliso Viejo,2012,white
David,Harrington,Aliso Viejo,2014,white
Phil,Tsunoda,Aliso Viejo,2014,asian
Mike,Munzing,Aliso Viejo,2016,white
William,Philips,Aliso Viejo,2016,white
Ross,Chun,Aliso Viejo,2016,asian
Tiffany,Ackley,Aliso Viejo,2018,white
David,Harrington,Aliso Viejo,2018,white
Richard,Hurt,Aliso Viejo,2020,white
Ross,Chun,Aliso Viejo,2020,asian
Mike,Munzing,Aliso Viejo,2020,white
Tiffany,Ackley,Aliso Viejo,2022,white
Max,Duncan,Aliso Viejo,2022,white
John,Dederick,ALTURAS,2010,white
Keith,Jacques,ALTURAS,2010,white
Harold,Irvin II,Alturas,2012,white
Bobby,Ray,Alturas,2012,white
Cherly,Nelson,Alturas,2012,white
John,Dederick,Alturas,2014,white
Mark,Steffek,Alturas,2014,white
Yolanda,Lewis,Alturas,2018,white
Mark,Steffek,Alturas,2018,white
Kelly,Crosby,Alturas,2020,white
Samantha,Wood,Alturas,2020,white
Cheryl,Nelson,Alturas,2020,white
Timothy,Knox,Amador,2018,black
Tim,Knox,AMADOR CITY,2010,black
Michael,Vasquez,AMADOR CITY,2010,hispanic
John,Swift,Amador City,2012,white
Michael,Brown,Amador City,2012,black
Aaron,Brusatori,Amador City,2012,white
Michael,Brown,Amador City,2016,black
David,Groth,Amador City,2016,white
Susan,Bragstad,Amador City,2016,white
Bruce,Smith,Amador City,2020,black
Susan,Bragstad,Amador City,2020,white
Anne,Kel-Artinian,Amador City,2020,white
Russell,Robinson,Amador City,2020,black
Belia,Bennett,AMERICAN CANYON,2010,white
Mark,Joseph,AMERICAN CANYON,2010,asian
Kenneth,Leary,American Canyon,2012,white
Joan,Bennett,American Canyon,2012,white
Mariam,Aboudamous,American Canyon,2016,white
Kenneth,Leary,American Canyon,2016,white
Mark,Joseph,American Canyon,2018,asian
David,Oro,American Canyon,2018,white
Pierre,Washington,American Canyon,2020,black
Mariam,Aboudamous,American Canyon,2020,white
Mark,Joseph,American Canyon,2022,asian
David,Oro,American Canyon,2022,white
Gail,Eastman,ANAHEIM,2010,white
Kris,Murray,ANAHEIM,2010,white
Jordan,Brandman,Anaheim,2012,white
Lucille,Kring,Anaheim,2012,white
Kris,Murray,Anaheim,2014,white
James,Vanderbilt,Anaheim,2014,white
Denise,Barnes,Anaheim,2016,white
Jose,Moreno,Anaheim,2016,hispanic
Lucille,Kring,Anaheim,2016,white
Steve,Faessel,Anaheim,2016,white
Jordan,Brandman,Anaheim,2018,white
Jose,Moreno,Anaheim,2018,hispanic
Trevor,O'Neil,Anaheim,2018,white
Jose,Diaz,Anaheim,2020,hispanic
Avelino,Valencia,Anaheim,2020,hispanic
Steve,Faessel,Anaheim,2020,white
Carlos,Leon,Anaheim,2022,hispanic
Natalie,Rubalcava,Anaheim,2022,hispanic
Natalie,Meeks,Anaheim,2022,white
John,Day,ANDERSON,2010,white
Debe,Hopkins,ANDERSON,2010,white
Susie,Baugh,Anderson,2012,white
Melissa,Hunt,Anderson,2012,white
James,Yarbrough,Anderson,2012,white
Norman,Comnick,Anderson,2014,white
Baron,Browning,Anderson,2014,black
Stan,Neutze,Anderson,2016,white
Melissa,Hunt,Anderson,2016,white
Susie,Baugh,Anderson,2016,white
Baron,Browning,Anderson,2018,black
Norma,Comnick,Anderson,2018,white
Mike,Gallagher,Anderson,2022,white
Dan,Gallier,Anderson,2022,white
Scott,Behiel,Angels,2014,white
Amanda,Folendorf,Angels,2014,white
Jennifer,Davis-Herndon,Angels,2020,white
Jeremy,Leonard,Angels,2020,white
Gretel,Tiscornia,Angels,2020,white
Jack,Lynch,ANGELS CAMP,2010,white
Stuart,Raggio,ANGELS CAMP,2010,white
Alvin,Broglio,Angels Camp,2022,white
Olga,Moncada,Angels Camp,2022,hispanic
Gary,Agopian,ANTIOCH,2010,white
Wade,Harper,ANTIOCH,2010,white
Monica,Wilson,Antioch,2012,white
Mary,Rocha,Antioch,2012,hispanic
Lori,Ogorchock,Antioch,2014,white
Tony,Tiscareno,Antioch,2014,hispanic
Lamar,Thorpe,Antioch,2016,white
Monica,Wilson,Antioch,2016,white
Joy,Motts,Antioch,2018,white
Lori,Ogorchock,Antioch,2018,white
Tamisha,Walker,Antioch,2020,white
Mike,Barbanica,Antioch,2020,white
Lori,Ogorchock,Antioch,2020,white
