firstname,lastname,city,year,gender
Steve,Baisden,Adelanto,2010,male
Charles,Valvo,Adelanto,2010,male
Edgar,Camargo,Adelanto,2012,male
Jermaine,Wright Sr.,Adelanto,2012,male
Charley,Glasper,Adelanto,2014,male
John,Woodard,Adelanto,2014,male
Jermaine,"Wright, Sr.",Adelanto,2016,male
Edgar,Camargo,Adelanto,2016,male
Joy,Jeannette,Adelanto,2018,female
Stevevonna,Evans,Adelanto,2018,female
Gerardo,Hernandez,Adelanto,2018,male
Daniel,Ramos,Adelanto,2020,male
Joy,Jeannette,Adelanto,2020,female
Amanda,Uptergrove,Adelanto,2022,female
Angelo,Meza,Adelanto,2022,male
Illece,Weber,Agoura Hills,2011,female
John,Edelston,Agoura Hills,2011,male
Denis,Weber,Agoura Hills,2013,male
Harry,Schwarz,Agoura Hills,2013,male
William,Koehler,Agoura Hills,2013,male
Illece,Weber,Agoura Hills,2015,female
Linda,Northrup,Agoura Hills,2015,female
Chris,Anstead,Agoura Hills,2018,male
Deborah,Lopez,Agoura Hills,2018,female
Denis,Weber,Agoura Hills,2018,male
Linda,Northrup,Agoura Hills,2020,female
Illece,Weber,Agoura Hills,2020,female
Deborah,Lopez,Agoura Hills,2022,female
Jeremy,Wolf,Agoura Hills,2022,male
Chris,Anstead,Agoura Hills,2022,male
Rob,Bonta,ALAMEDA,2010,male
Lena,Tam,ALAMEDA,2010,female
Marilyn,Ashcraft,Alameda,2012,female
Tony,Daysog,Alameda,2012,male
Frank,Matarrese,Alameda,2014,male
Jim,Oddie,Alameda,2014,male
Malia,Vella,Alameda,2016,female
Marilyn,Ashcraft,Alameda,2016,female
Tony,Daysog,Alameda,2018,male
John,White,Alameda,2018,male
Trish,Spencer,Alameda,2020,female
Malia,Vella,Alameda,2020,female
Tony,Daysog,Alameda,2022,male
Tracy,Jensen,Alameda,2022,female
Marge,Atkinson,ALBANY,2010,female
Joanne,Wile,ALBANY,2010,female
Peter,Maass,Albany,2012,male
Michael,Barnes,Albany,2012,male
Peggy,Thomsen,Albany,2012,female
Nick,Pilch,Albany,2016,male
Peter,Maass,Albany,2016,male
Michael,Barnes,Albany,2016,male
Peggy,Mcquaid,Albany,2018,female
Rochelle,Nason,Albany,2018,female
Gary,Ge'nell,Albany,2020,male
Preston,Jordan,Albany,2020,male
Aaron,Tiedemann,Albany,2020,male
John,Miki,Albany,2022,male
Jennifer,Hansen-Romero,Albany,2022,female
Steven,Placido,Alhambra,2012,male
Stephen,Sham,Alhambra,2014,male
Jeff,Maloney,Alhambra,2016,male
David,Mejia,Alhambra,2016,male
Katherine,Lee,Alhambra,2018,female
Ross,Maza,Alhambra,2018,male
Adele,Andrade-Stadler,Alhambra,2018,female
Sasha,Pérez,Alhambra,2020,female
Jeff,Maloney,Alhambra,2020,male
Katherine,Lee,Alhambra,2022,female
Ross,Maza,Alhambra,2022,male
Adele,Andrade-Stadler,Alhambra,2022,female
Carmen,Cave,ALISO VIEJO,2010,female
Phillip,Tsunoda,ALISO VIEJO,2010,male
Ross,Chun,Aliso Viejo,2012,male
Mike,Munzing,Aliso Viejo,2012,male
William,Phillips,Aliso Viejo,2012,male
Greg,Ficke,Aliso Viejo,2012,male
David,Harrington,Aliso Viejo,2014,male
Phil,Tsunoda,Aliso Viejo,2014,male
Mike,Munzing,Aliso Viejo,2016,male
William,Philips,Aliso Viejo,2016,male
Ross,Chun,Aliso Viejo,2016,male
Tiffany,Ackley,Aliso Viejo,2018,female
David,Harrington,Aliso Viejo,2018,male
Richard,Hurt,Aliso Viejo,2020,male
Ross,Chun,Aliso Viejo,2020,male
Mike,Munzing,Aliso Viejo,2020,male
Tiffany,Ackley,Aliso Viejo,2022,female
Max,Duncan,Aliso Viejo,2022,male
John,Dederick,ALTURAS,2010,male
Keith,Jacques,ALTURAS,2010,male
Harold,Irvin II,Alturas,2012,male
Bobby,Ray,Alturas,2012,male
Cherly,Nelson,Alturas,2012,female
John,Dederick,Alturas,2014,male
Mark,Steffek,Alturas,2014,male
Yolanda,Lewis,Alturas,2018,female
Mark,Steffek,Alturas,2018,male
Kelly,Crosby,Alturas,2020,female
Samantha,Wood,Alturas,2020,female
Cheryl,Nelson,Alturas,2020,female
Timothy,Knox,Amador,2018,male
Tim,Knox,AMADOR CITY,2010,male
Michael,Vasquez,AMADOR CITY,2010,male
John,Swift,Amador City,2012,male
Michael,Brown,Amador City,2012,male
Aaron,Brusatori,Amador City,2012,male
Michael,Brown,Amador City,2016,male
David,Groth,Amador City,2016,male
Susan,Bragstad,Amador City,2016,female
Bruce,Smith,Amador City,2020,male
Susan,Bragstad,Amador City,2020,female
Anne,Kel-Artinian,Amador City,2020,female
Russell,Robinson,Amador City,2020,male
Belia,Bennett,AMERICAN CANYON,2010,female
Mark,Joseph,AMERICAN CANYON,2010,male
Kenneth,Leary,American Canyon,2012,male
Joan,Bennett,American Canyon,2012,female
Mariam,Aboudamous,American Canyon,2016,female
Kenneth,Leary,American Canyon,2016,male
Mark,Joseph,American Canyon,2018,male
David,Oro,American Canyon,2018,male
Pierre,Washington,American Canyon,2020,male
Mariam,Aboudamous,American Canyon,2020,female
Mark,Joseph,American Canyon,2022,male
David,Oro,American Canyon,2022,male
Gail,Eastman,ANAHEIM,2010,female
Kris,Murray,ANAHEIM,2010,female
Jordan,Brandman,Anaheim,2012,female
Lucille,Kring,Anaheim,2012,female
Kris,Murray,Anaheim,2014,female
James,Vanderbilt,Anaheim,2014,male
Denise,Barnes,Anaheim,2016,female
Jose,Moreno,Anaheim,2016,male
Lucille,Kring,Anaheim,2016,female
Steve,Faessel,Anaheim,2016,male
Jordan,Brandman,Anaheim,2018,female
Jose,Moreno,Anaheim,2018,male
Trevor,O'Neil,Anaheim,2018,male
Jose,Diaz,Anaheim,2020,male
Avelino,Valencia,Anaheim,2020,male
Steve,Faessel,Anaheim,2020,male
Carlos,Leon,Anaheim,2022,male
Natalie,Rubalcava,Anaheim,2022,female
Natalie,Meeks,Anaheim,2022,female
John,Day,ANDERSON,2010,male
Debe,Hopkins,ANDERSON,2010,female
Susie,Baugh,Anderson,2012,female
Melissa,Hunt,Anderson,2012,female
James,Yarbrough,Anderson,2012,male
Norman,Comnick,Anderson,2014,female
Baron,Browning,Anderson,2014,male
Stan,Neutze,Anderson,2016,male
Melissa,Hunt,Anderson,2016,female
Susie,Baugh,Anderson,2016,female
Baron,Browning,Anderson,2018,male
Norma,Comnick,Anderson,2018,female
Mike,Gallagher,Anderson,2022,male
Dan,Gallier,Anderson,2022,female
Jack,Lynch,ANGELS CAMP,2010,male
Stuart,Raggio,ANGELS CAMP,2010,male
Scott,Behiel,Angels Camp,2014,male
Amanda,Folendorf,Angels Camp,2014,female
Jennifer,Davis-Herndon,Angels Camp,2020,female
Jeremy,Leonard,Angels Camp,2020,male
Gretel,Tiscornia,Angels Camp,2020,female
Alvin,Broglio,Angels Camp,2022,male
Olga,Moncada,Angels Camp,2022,female
Gary,Agopian,ANTIOCH,2010,male
Wade,Harper,ANTIOCH,2010,male
Monica,Wilson,Antioch,2012,female
Mary,Rocha,Antioch,2012,female
Lori,Ogorchock,Antioch,2014,female
Tony,Tiscareno,Antioch,2014,male
Lamar,Thorpe,Antioch,2016,male
