firstname,lastname,SchoolDistrict,year,gender
Sophia,Tse,ABC Unified,2011,female
Armin,Reyes,ABC Unified,2011,male
Maynard,Law,ABC Unified,2011,male
Celia,Spitzer,ABC Unified,2011,female
Lynda,Johnson,ABC Unified,2011,female
Soo,Yoo,ABC Unified,2013,male
Olympia,Chen,ABC Unified,2013,female
Lynda,Johnson,ABC Unified,2013,female
Sophia,Tse,ABC Unified,2015,female
Silvestre,Vasquez,ABC Unified,2015,male
C,Apodaca,ABC Unified,2015,male
Letty,Mendoza,ABC Unified,2015,female
Maynard,Law,ABC Unified,2015,male
H.,Nishii,ABC Unified,2017,male
Olga,Rios,ABC Unified,2017,female
Sophia,Tse,ABC Unified,2020,female
Michael,Eugenio,ABC Unified,2020,male
Soo,Yoo,ABC Unified,2022,male
Ernie,Nishii,ABC Unified,2022,female
Olga,Rios,ABC Unified,2022,female
Robert,Hockett,Acalanes Union High,2014,male
Susie,Epstein,Acalanes Union High,2014,female
Nancy,Kendzierski,Acalanes Union High,2014,female
Bob,Hockett,Acalanes Union High,2018,male
Christopher,Severson,Acalanes Union High,2018,male
Nancy,Kendzierski,Acalanes Union High,2018,female
Christopher,Grove,Acalanes Union High,2020,male
Kristin,Connelly,Acalanes Union High,2020,female
Jennifer,Chen,Acalanes Union High,2022,female
Christopher,Severson,Acalanes Union High,2022,male
Nancy,Kendzierski,Acalanes Union High,2022,female
Casey,Clawson,Ackerman Charter,2022,male
Michael,Belles,Ackerman Charter,2022,male
David,Slane,Ackerman Elementary,2012,male
Stacy,Clement,Ackerman Elementary,2012,female
Kim,Williamson,Ackerman Elementary,2012,female
Ken,Pfalzgraf,Acton-Agua Dulce Unified,2016,male
Tim,Jorgensen,Acton-Agua Dulce Unified,2018,male
Edward,Porter,Acton-Agua Dulce Unified,2018,male
Kelly,Jensen,Acton-Agua Dulce Unified,2018,female
Ken,Pfalzgraf,Acton-Agua Dulce Unified,2018,male
Tim,Jorgensen,Acton-Agua Dulce Unified,2020,male
Chad,Wadsworth,Acton-Agua Dulce Unified,2020,male
Michael,Fox,Acton-Agua Dulce Unified,2020,male
Elaine,Gonzales,Adelanto Elementary,2010,female
Debra,Jones,Adelanto Elementary,2010,female
Christine,Turner,Adelanto Elementary,2010,female
Jermaine,Wright Sr.,Adelanto Elementary,2012,male
Elaine,Gonzales,Adelanto Elementary,2012,female
Teresa,Rogers,Adelanto Elementary,2012,female
Jayson,Hughes,Adelanto Elementary,2014,male
Debra,Jones,Adelanto Elementary,2014,female
Evelyn,Glasper,Adelanto Elementary,2014,female
Christine,Turner,Adelanto Elementary,2016,female
Holly,Eckes,Adelanto Elementary,2016,female
Christina,Bentz,Adelanto Elementary,2018,female
Ammie,Hines,Adelanto Elementary,2018,female
La,Love-French,Adelanto Elementary,2018,female
Christine,Turner,Adelanto Elementary,2020,female
Christina,Bentz,Adelanto Elementary,2022,female
Mike,McMahon,Alameda City Unified,2010,male
Marjorie,Sherratt,Alameda City Unified,2010,female
Niel,Tam,Alameda City Unified,2012,male
Barbara,Kahn,Alameda City Unified,2012,female
Aisha,Knowles,Alameda City Unified,2012,female
Trish,Spencer,Alameda City Unified,2012,female
Gray,Harris,Alameda City Unified,2016,male
Jennifer,Williams,Alameda City Unified,2016,female
Ardella,Dailey,Alameda City Unified,2016,female
Megan,Sweet,Alameda City Unified,2020,female
Heather,Little,Alameda City Unified,2020,female
Jennifer,Williams,Alameda City Unified,2020,female
Joaquin,Rivera,ALAMEDA COUNTY OFFICE OF EDUCATION,2010,male
Ken,Berrick,Alameda County Office of Education,2016,male
Amber,Childress,Alameda County Office of Education,2016,female
Joaquin,Rivera,Alameda County Office of Education,2018,male
Angela,Normand,Alameda County Office of Education,2020,female
Janavette,Cole,Alameda County Office of Education,2020,female
Cheryl,Cook-Kallio,Alameda County Office of Education,2022,female
Gary,Lym,Alameda Unified,2014,male
Solana,Henneberry,Alameda Unified,2014,female
